FIPS,vaccgivenpercaptia,Hesitancy,dosewastedpercapita,vacc_complete,Census2019,vaccnum,UrbRur,demrep,demv,repv,mystate
17059,1.573943662,0.1,4.336578293,98.2,4828,2754,6,Republican,622,2019,IL
17061,1.200478063,0.1,0.137096152,98.2,12969,5793,6,Republican,1349,4770,IL
17063,1.608747601,0.08,0.268911349,98.2,51054,30106,2,Republican,9626,16523,IL
17065,1.114711681,0.1,0.220675209,98.2,8116,3268,6,Republican,824,3432,IL
17067,1.359611475,0.1,0.660492433,98.2,17708,8935,5,Republican,2315,6906,IL
17069,1.214865219,0.1,0.384454331,98.2,3821,1679,6,Republican,449,1691,IL
17071,1.447035811,0.1,0.607583509,98.2,6646,3425,5,Republican,1187,2394,IL
17073,1.713409523,0.1,0.067364504,98.2,48913,29756,3,Republican,9797,15300,IL
17075,1.438039389,0.11,0.538061518,98.2,27114,14112,6,Republican,2908,10877,IL
17077,1.513656388,0.1,0.520440529,98.2,56750,30362,4,Democrate,11181,10890,IL
17079,1.18314256,0,0,98.2,9610,4108,6,Republican,1007,4494,IL
17081,1.34380639,0.1,0.324620529,98.2,37684,18196,5,Republican,4608,12476,IL
17083,1.578652459,0.1,0.610894227,98.2,21773,12400,2,Republican,2961,8712,IL
17085,2.261266777,0.09,0.29738639,98.2,21235,17187,6,Republican,5109,7166,IL
17087,1.516630426,0.1,0.13562052,98.2,12417,6808,6,Republican,1281,5059,IL
17089,1.911210117,0.07,0.210849676,98.2,532403,365704,2,Democrate,130166,96775,IL
